epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6109,1.58673,2.44595,1.68478,0.0266,0.30244,0.01537,0.00584,2.27218,10.6157,2.32847,0.00066383,0.00066383,0.00066383
2,78.7031,1.64192,2.07495,1.70148,0.47809,0.3396,0.32391,0.14376,1.9264,2.75649,1.92331,0.00131732,0.00131732,0.00131732
3,114.554,1.60037,1.99581,1.67829,0.41581,0.31382,0.27829,0.11582,1.98077,2.29153,2.01978,0.00195762,0.00195762,0.00195762
4,153.437,1.53503,1.85959,1.6223,0.37686,0.40976,0.30295,0.13558,1.78249,2.38188,1.78148,0.0019406,0.0019406,0.0019406
5,189.053,1.48123,1.82229,1.56933,0.56397,0.43324,0.41722,0.21299,1.71884,2.01272,1.79045,0.0019208,0.0019208,0.0019208
6,225.596,1.43599,1.76209,1.5558,0.53009,0.4374,0.44337,0.23387,1.66534,1.75836,1.64383,0.001901,0.001901,0.001901
7,262.207,1.39721,1.67569,1.51037,0.58503,0.50081,0.44882,0.2449,1.55797,1.79459,1.57306,0.0018812,0.0018812,0.0018812
8,298.352,1.34633,1.64199,1.48032,0.62169,0.4439,0.47303,0.26203,1.55552,1.73117,1.5475,0.0018614,0.0018614,0.0018614
9,336.972,1.32665,1.59163,1.46667,0.58628,0.44065,0.45957,0.23334,1.61483,1.73978,1.55426,0.0018416,0.0018416,0.0018416
10,376.504,1.30903,1.57942,1.45644,0.54465,0.43902,0.45199,0.25055,1.54797,1.8763,1.56203,0.0018218,0.0018218,0.0018218
11,416.051,1.28951,1.55142,1.43601,0.56896,0.46146,0.4881,0.27268,1.49605,1.66153,1.50148,0.001802,0.001802,0.001802
12,457.064,1.28201,1.54511,1.42755,0.59177,0.46829,0.48552,0.26832,1.49275,1.70415,1.50494,0.0017822,0.0017822,0.0017822
13,499.654,1.24578,1.46915,1.41343,0.61541,0.4065,0.45613,0.2318,1.63932,1.71033,1.55515,0.0017624,0.0017624,0.0017624
14,540.621,1.2349,1.46548,1.3993,0.53165,0.49756,0.49021,0.27676,1.40512,1.57439,1.39379,0.0017426,0.0017426,0.0017426
15,585.378,1.22732,1.46055,1.40181,0.59514,0.39837,0.42443,0.24063,1.44676,1.71613,1.44143,0.0017228,0.0017228,0.0017228
16,626.03,1.21146,1.42519,1.38007,0.60302,0.50081,0.50303,0.30467,1.37895,1.55767,1.41364,0.001703,0.001703,0.001703
17,665.966,1.22374,1.41864,1.38715,0.67072,0.51057,0.54164,0.32844,1.37256,1.42078,1.37259,0.0016832,0.0016832,0.0016832
18,705.803,1.19713,1.39946,1.37228,0.65556,0.49106,0.54358,0.32863,1.37912,1.43093,1.41394,0.0016634,0.0016634,0.0016634
19,746.033,1.18413,1.38066,1.36606,0.66585,0.50894,0.54347,0.34664,1.28123,1.46094,1.33365,0.0016436,0.0016436,0.0016436
20,785.845,1.18225,1.37871,1.37045,0.65544,0.51057,0.55886,0.34208,1.29114,1.42362,1.34314,0.0016238,0.0016238,0.0016238
21,825.52,1.15225,1.34888,1.34599,0.69874,0.49783,0.56767,0.35521,1.30666,1.42701,1.35776,0.001604,0.001604,0.001604
22,865.434,1.14612,1.29916,1.33851,0.66499,0.46179,0.52136,0.30359,1.36652,1.52914,1.41657,0.0015842,0.0015842,0.0015842
23,905.352,1.13947,1.32304,1.3383,0.67281,0.46811,0.53603,0.3242,1.32965,1.44713,1.34274,0.0015644,0.0015644,0.0015644
24,944.155,1.13531,1.31336,1.33551,0.7082,0.47805,0.54784,0.34564,1.33126,1.38927,1.33344,0.0015446,0.0015446,0.0015446
25,982.143,1.13227,1.31981,1.3247,0.69847,0.48293,0.56566,0.35855,1.28833,1.34032,1.33764,0.0015248,0.0015248,0.0015248
26,1020.06,1.12298,1.31375,1.33277,0.71537,0.4878,0.56654,0.35715,1.29605,1.3853,1.35336,0.001505,0.001505,0.001505
27,1064.24,1.1338,1.31959,1.33637,0.66351,0.43089,0.50154,0.28199,1.4931,1.52871,1.47167,0.0014852,0.0014852,0.0014852
28,1115.08,1.13499,1.29674,1.3331,0.67588,0.46992,0.53124,0.32245,1.33771,1.44831,1.34912,0.0014654,0.0014654,0.0014654
29,1165.65,1.11421,1.29237,1.30165,0.68938,0.52688,0.59323,0.37789,1.27115,1.34687,1.32272,0.0014456,0.0014456,0.0014456
30,1217.13,1.1076,1.27217,1.30742,0.65729,0.50894,0.55276,0.35065,1.30675,1.38908,1.31251,0.0014258,0.0014258,0.0014258
31,1267.68,1.106,1.25818,1.30877,0.65499,0.50009,0.53786,0.34329,1.29181,1.39999,1.31863,0.001406,0.001406,0.001406
32,1320.21,1.0851,1.25134,1.29526,0.66978,0.50407,0.55695,0.34717,1.2998,1.37283,1.33793,0.0013862,0.0013862,0.0013862
33,1371.01,1.09431,1.24246,1.31095,0.65547,0.52846,0.57953,0.36367,1.24179,1.35034,1.28448,0.0013664,0.0013664,0.0013664
34,1416.93,1.08775,1.24652,1.30166,0.68705,0.50732,0.58545,0.37463,1.24372,1.33539,1.2867,0.0013466,0.0013466,0.0013466
35,1468.23,1.07552,1.24853,1.3025,0.682,0.51382,0.57793,0.37865,1.2303,1.33307,1.27382,0.0013268,0.0013268,0.0013268
36,1520.48,1.04813,1.20794,1.28764,0.73105,0.52154,0.60276,0.39427,1.21652,1.26959,1.27516,0.001307,0.001307,0.001307
37,1572.22,1.07364,1.24106,1.29879,0.65063,0.53659,0.56891,0.355,1.30453,1.35704,1.32893,0.0012872,0.0012872,0.0012872
38,1621.32,1.03881,1.18701,1.28041,0.69806,0.52629,0.60075,0.39078,1.18815,1.29378,1.23723,0.0012674,0.0012674,0.0012674
39,1673.45,1.0562,1.20866,1.2887,0.69627,0.53496,0.59361,0.39355,1.18285,1.25491,1.23606,0.0012476,0.0012476,0.0012476
40,1726.63,1.04723,1.19101,1.27333,0.67407,0.53984,0.61208,0.39253,1.21373,1.28691,1.26329,0.0012278,0.0012278,0.0012278
41,1778.05,1.04353,1.19966,1.28426,0.68,0.56423,0.62947,0.41506,1.16263,1.22893,1.22479,0.001208,0.001208,0.001208
42,1828.11,1.04387,1.19328,1.28,0.70872,0.55784,0.62196,0.3987,1.20744,1.22612,1.26639,0.0011882,0.0011882,0.0011882
43,1879.05,1.03646,1.17521,1.27682,0.71084,0.50244,0.58725,0.37868,1.22958,1.29447,1.25062,0.0011684,0.0011684,0.0011684
44,1931.09,1.05231,1.2022,1.27412,0.73968,0.5187,0.61884,0.41118,1.15925,1.21488,1.2233,0.0011486,0.0011486,0.0011486
45,1977.56,1.02052,1.17338,1.26851,0.67101,0.53821,0.59161,0.38751,1.17357,1.30012,1.22509,0.0011288,0.0011288,0.0011288
46,2029.15,1.01695,1.17531,1.26298,0.70614,0.56264,0.63475,0.42059,1.11724,1.24357,1.19945,0.001109,0.001109,0.001109
47,2081.69,1.00999,1.16325,1.26326,0.7469,0.50864,0.60858,0.39845,1.20925,1.23663,1.23821,0.0010892,0.0010892,0.0010892
48,2133.78,1.01511,1.16749,1.2544,0.72169,0.53333,0.62033,0.40858,1.16288,1.26988,1.21224,0.0010694,0.0010694,0.0010694
49,2185.79,1.03353,1.18045,1.27287,0.69725,0.57561,0.63219,0.41943,1.1339,1.23652,1.20996,0.0010496,0.0010496,0.0010496
50,2234.43,1.01698,1.1537,1.26102,0.72705,0.56423,0.63622,0.42611,1.15066,1.1785,1.21267,0.0010298,0.0010298,0.0010298
51,2276.85,0.99616,1.12089,1.25006,0.67488,0.53333,0.60409,0.38517,1.22218,1.22754,1.23877,0.00101,0.00101,0.00101
52,2323.98,0.97913,1.11523,1.23939,0.71406,0.53984,0.6314,0.42069,1.14523,1.21223,1.19333,0.0009902,0.0009902,0.0009902
53,2370.92,1.00198,1.12606,1.24572,0.74284,0.54797,0.63898,0.42317,1.14332,1.19611,1.2063,0.0009704,0.0009704,0.0009704
54,2418.75,1.00309,1.12849,1.24572,0.71383,0.57886,0.64791,0.42731,1.14118,1.19264,1.21019,0.0009506,0.0009506,0.0009506
55,2469.87,0.98466,1.11564,1.24183,0.7471,0.55122,0.65056,0.43961,1.15079,1.18801,1.21609,0.0009308,0.0009308,0.0009308
56,2516.28,0.99626,1.12059,1.25121,0.6848,0.58211,0.64939,0.42646,1.15011,1.16386,1.21428,0.000911,0.000911,0.000911
57,2566.46,0.97836,1.10514,1.2259,0.67224,0.54694,0.60531,0.40056,1.16461,1.21254,1.21115,0.0008912,0.0008912,0.0008912
58,2620.03,1.01383,1.13015,1.24626,0.66864,0.56585,0.63155,0.42894,1.09955,1.17547,1.18554,0.0008714,0.0008714,0.0008714
59,2671.39,0.96608,1.07633,1.22931,0.73258,0.57886,0.66906,0.45768,1.09827,1.14636,1.17351,0.0008516,0.0008516,0.0008516
60,2721.7,0.97491,1.1162,1.23501,0.71681,0.57209,0.63886,0.43368,1.12174,1.17618,1.19151,0.0008318,0.0008318,0.0008318
